date,symbol,open,close,low,high,volume
2010-01-04,STT,43.810001,44.459999,43.549999,44.779999,3440300.0
2010-01-05,STT,44.52,44.549999,44.02,45.0,3992500.0
2010-01-06,STT,44.400002,43.810001,43.650002,44.669998,4062100.0
2010-01-07,STT,44.349998,44.599998,43.98,44.860001,5273100.0
2010-01-08,STT,44.759998,45.509998,44.389999,45.880001,6038000.0
2010-01-11,STT,45.889999,44.360001,44.209999,46.099998,4260000.0
2010-01-12,STT,43.91,44.200001,43.91,44.849998,3432600.0
2010-01-13,STT,44.5,44.610001,43.650002,44.77,2741000.0
2010-01-14,STT,44.330002,43.790001,43.189999,44.419998,4268500.0
2010-01-15,STT,43.52,42.669998,42.52,44.099998,6887100.0
2010-01-19,STT,42.509998,43.200001,42.450001,43.330002,6995200.0
2010-01-20,STT,43.889999,46.279999,43.880001,46.82,12516300.0
2010-01-21,STT,46.209999,45.470001,45.349998,46.900002,8060100.0
2010-01-22,STT,45.400002,43.360001,43.049999,45.849998,6370300.0
2010-01-25,STT,43.849998,43.939999,43.169998,44.419998,3559200.0
2010-01-26,STT,43.889999,43.080002,42.48,44.34,5314700.0
2010-01-27,STT,42.880001,44.509998,42.700001,44.610001,5125200.0
2010-01-28,STT,44.759998,43.830002,43.139999,44.759998,4129400.0
2010-01-29,STT,44.150002,42.880001,42.610001,44.52,5285700.0
2010-02-01,STT,43.27,44.16,43.09,44.220001,4831700.0
2010-02-02,STT,44.16,44.57,43.849998,44.759998,5885200.0
2010-02-03,STT,44.400002,44.400002,44.099998,44.610001,4762400.0
2010-02-04,STT,44.02,43.07,43.0,44.349998,7108400.0
2010-02-05,STT,43.290001,43.349998,42.02,43.630001,8363900.0
2010-02-08,STT,43.32,43.0,42.900002,44.310001,5983200.0
2010-02-09,STT,43.5,44.220001,43.32,44.360001,8471100.0
2010-02-10,STT,44.220001,44.639999,43.990002,45.330002,5670300.0
2010-02-11,STT,44.650002,45.049999,44.130001,45.299999,4879600.0
2010-02-12,STT,44.580002,44.619999,44.110001,44.91,5845700.0
2010-02-16,STT,44.810001,45.470001,44.459999,45.57,5037100.0
2010-02-17,STT,45.380001,44.84,44.52,45.450001,4456800.0
2010-02-18,STT,44.540001,45.23,44.48,45.32,5354600.0
2010-02-19,STT,45.279999,46.639999,45.209999,47.549999,9715600.0
2010-02-22,STT,46.740002,46.779999,46.389999,47.150002,5888600.0
2010-02-23,STT,46.610001,45.860001,45.639999,46.959999,5167200.0
2010-02-24,STT,44.599998,45.380001,44.450001,45.799999,8404500.0
2010-02-25,STT,44.41,44.990002,44.130001,45.049999,7236500.0
2010-02-26,STT,44.889999,44.91,44.43,45.169998,4911700.0
2010-03-01,STT,45.040001,44.970001,44.720001,45.220001,3332500.0
2010-03-02,STT,45.119999,45.029999,44.959999,45.540001,3427000.0
2010-03-03,STT,45.060001,44.919998,44.849998,45.599998,2751200.0
2010-03-04,STT,45.060001,45.099998,44.73,45.259998,3835700.0
2010-03-05,STT,45.48,45.639999,45.07,45.919998,3927800.0
2010-03-08,STT,45.77,45.490002,45.25,46.099998,4222400.0
